factor_name,Group1,Group2,Group3,Group4,Group5,ic_mean,ic_sign,icir,long-average,long-short,signic>0,signic>0.04,t
"DownResample(Max($close/Ref($close,13) - 1, 240), 240, ""last"")",-0.001067216,-3.22E-06,0.001128553,0.001367486,-0.000180282,-0.065396595,1,3.710616745,-0.001307694,-0.000886934,0.721134021,0.608762887,-23.0213982
"DownResample(Max($close/Ref($close,14) - 1, 240), 240, ""last"")",-0.001056488,1.44E-05,0.001155096,0.001337687,-0.000195084,-0.065058855,1,3.690050536,-0.001296966,-0.000861404,0.721649485,0.604639175,-22.89380138
"DownResample(Max($close/Ref($close,15) - 1, 240), 240, ""last"")",-0.001038186,9.22E-06,0.001138673,0.001339157,-0.000207325,-0.064776674,1,3.675875033,-0.001278664,-0.000830861,0.722164948,0.605154639,-22.80585376
"DownResample(Max($close/Ref($close,16) - 1, 240), 240, ""last"")",-0.001034906,1.69E-05,0.001157932,0.001313584,-0.000189757,-0.064446256,1,3.656269713,-0.001275384,-0.000845149,0.72371134,0.603092784,-22.68421849
"DownResample(Max($close/Ref($close,17) - 1, 240), 240, ""last"")",-0.000991579,-1.19E-05,0.001178155,0.001341378,-0.000271949,-0.064026306,1,3.627272007,-0.001232057,-0.00071963,0.720103093,0.604123711,-22.504311
"DownResample(Max($close/Ref($close,18) - 1, 240), 240, ""last"")",-0.000940433,-2.25E-05,0.001142113,0.001328149,-0.000269284,-0.063646136,1,3.601812561,-0.001180911,-0.000671148,0.718041237,0.603092784,-22.34635558
"DownResample(Max($close/Ref($close,19) - 1, 240), 240, ""last"")",-0.000939323,-2.16E-05,0.001156034,0.001328499,-0.000287648,-0.06342708,1,3.589207362,-0.001179801,-0.000651676,0.719072165,0.60257732,-22.26815044
"DownResample(Max($close/Ref($close,20) - 1, 240), 240, ""last"")",-0.000921906,-1.21E-05,0.001161723,0.001328007,-0.000314099,-0.063079907,1,3.566783271,-0.001162384,-0.000607808,0.720103093,0.6,-22.12902695
"DownResample(Max($close/Ref($close,21) - 1, 240), 240, ""last"")",-0.000889058,-2.75E-05,0.001145985,0.001329339,-0.000302226,-0.06283261,1,3.550245229,-0.001129536,-0.000586832,0.718556701,0.598969072,-22.02642168
"DownResample(Max($close/Ref($close,22) - 1, 240), 240, ""last"")",-0.000909768,-5.43E-06,0.001144844,0.001349628,-0.000341582,-0.062629056,1,3.538275402,-0.001150246,-0.000568186,0.717010309,0.599484536,-21.95215851
"DownResample(Max($close/Ref($close,23) - 1, 240), 240, ""last"")",-0.000897232,4.49E-05,0.001109637,0.001321541,-0.000357179,-0.062296139,1,3.518967829,-0.00113771,-0.000540053,0.715463918,0.597938144,-21.83237052
"DownResample(Max($close/Ref($close,24) - 1, 240), 240, ""last"")",-0.000874033,1.04E-05,0.001142929,0.001328052,-0.000352308,-0.062005116,1,3.501379709,-0.001114511,-0.000521725,0.715979381,0.596391753,-21.72325036
"DownResample(Max($close/Ref($close,25) - 1, 240), 240, ""last"")",-0.000868985,-1.28E-06,0.001164661,0.001285362,-0.000335391,-0.061791964,1,3.491715373,-0.001109463,-0.000533593,0.71443299,0.595360825,-21.66329091
"DownResample(Max($close/Ref($close,26) - 1, 240), 240, ""last"")",-0.00086094,5.81E-05,0.001118528,0.001288644,-0.000358117,-0.061534557,1,3.473001564,-0.001101418,-0.000502823,0.714948454,0.593298969,-21.54718675
"DownResample(Max($close/Ref($close,27) - 1, 240), 240, ""last"")",-0.000855822,4.72E-05,0.001100017,0.001325729,-0.000374735,-0.061352246,1,3.460456096,-0.0010963,-0.000481088,0.717010309,0.596391753,-21.46935219
"DownResample(Max($close/Ref($close,28) - 1, 240), 240, ""last"")",-0.000841881,5.70E-05,0.001087214,0.001329705,-0.00039316,-0.061123161,1,3.444529884,-0.001082359,-0.000448721,0.712371134,0.594329897,-21.37054283
"DownResample(Max($close/Ref($close,29) - 1, 240), 240, ""last"")",-0.000859712,8.17E-05,0.00109962,0.001312539,-0.000391204,-0.060975129,1,3.435644495,-0.00110019,-0.000468508,0.713402062,0.594329897,-21.31541612
"DownResample(Max($close/Ref($close,30) - 1, 240), 240, ""last"")",-0.000822574,-5.03E-06,0.001180827,0.001313908,-0.000421829,-0.060723897,1,3.420398664,-0.001063052,-0.000400745,0.713917526,0.591237113,-21.22082798
"DownResample(Min($close/Ref($close,1) - 1, 240), 240, ""last"")",0.00460371,0.000935544,0.001007761,0.000136464,-0.005325456,0.069285868,1,4.124204786,0.004363232,0.009929165,0.76185567,0.636082474,25.58737998
"DownResample(Min($close/Ref($close,2) - 1, 240), 240, ""last"")",0.004710201,0.001174767,0.000972616,9.69E-05,-0.005599681,0.073879805,1,4.161438421,0.004469724,0.010309883,0.757216495,0.642783505,25.8183848
"DownResample(Min($close/Ref($close,3) - 1, 240), 240, ""last"")",0.004768402,0.001190031,0.000951008,4.01E-05,-0.005600556,0.074993922,1,4.110477961,0.004527925,0.010368958,0.753608247,0.637628866,25.50221605
"DownResample(Min($close/Ref($close,4) - 1, 240), 240, ""last"")",0.004817102,0.001139867,0.000942052,8.49E-05,-0.005644036,0.075656819,1,4.080933707,0.004576624,0.010461137,0.753608247,0.641752577,25.31891767
"DownResample(Min($close/Ref($close,5) - 1, 240), 240, ""last"")",0.004837445,0.001164782,0.000916358,0.00011801,-0.005698471,0.075963461,1,4.057870131,0.004596967,0.010535916,0.748453608,0.633505155,25.1758267
"DownResample(Min($close/Ref($close,6) - 1, 240), 240, ""last"")",0.004828795,0.001195823,0.000873068,0.000119047,-0.005683032,0.076106629,1,4.036605245,0.004588317,0.010511827,0.744329897,0.632474227,25.04389515
"DownResample(Min($close/Ref($close,7) - 1, 240), 240, ""last"")",0.004842116,0.001214422,0.000933342,0.000105677,-0.005761469,0.076512378,1,4.031899043,0.004601638,0.010603584,0.739175258,0.630412371,25.01469695
"DownResample(Min($close/Ref($close,8) - 1, 240), 240, ""last"")",0.004847279,0.001263392,0.00087894,4.89E-05,-0.005706076,0.076518322,1,4.010460584,0.004606801,0.010553355,0.738659794,0.632989691,24.88168852
